"Reference","Qty","Value","Footprint","Datasheet"
"C1,C3,C4,C5,C6","5","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2","1","470µF/16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1","1","SS34","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D2,D4","2","Verde","LED_THT:LED_D5.0mm",""
"D3","1","Rojo","LED_THT:LED_D5.0mm",""
"F1","1","1.1A","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"J1","1","ESP32_DevKitV1_Header_Left","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J2","1","ESP32_DevKitV1_Header_Right","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J3","1","Entrada 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J4","1","Buzzer 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J5","1","DHT22","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J6","1","PIR HC-SR501","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J7","1","Reed switch","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J8","1","OLED 0.96 I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J9","1","MQ-135","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Q1","1","BC337","Package_TO_SOT_THT:TO-92_Inline",""
"R1,R4","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5,R6","2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R7","1","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1,SW2,SW3","3","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
